时间,力值 1#,力值 2#,力值 3#,合力
'2025-08-11 20:10:28.575,0,0,-0.03,0.03
'2025-08-11 20:10:28.581,0,0,-0.03,0.03
'2025-08-11 20:10:28.588,0,0,-0.03,0.03
'2025-08-11 20:10:28.594,0,0,-0.03,0.03
'2025-08-11 20:10:28.601,0,0,-0.03,0.03
'2025-08-11 20:10:28.607,0,0,-0.03,0.03
'2025-08-11 20:10:28.614,0,0,-0.03,0.03
'2025-08-11 20:10:28.620,0,0,-0.03,0.03
'2025-08-11 20:10:28.627,0,0,-0.03,0.03
'2025-08-11 20:10:28.634,0,0,-0.03,0.03
'2025-08-11 20:10:28.641,0,0,-0.03,0.03
'2025-08-11 20:10:28.648,0,0,-0.03,0.03
'2025-08-11 20:10:28.658,0,0,-0.03,0.03
'2025-08-11 20:10:28.664,0,0,-0.03,0.03
'2025-08-11 20:10:28.671,0,0,-0.03,0.03
'2025-08-11 20:10:28.677,0,0,-0.02,0.02
'2025-08-11 20:10:28.685,0,0,-0.02,0.02
'2025-08-11 20:10:28.692,0,0,-0.03,0.03
'2025-08-11 20:10:28.699,0,0,-0.03,0.03
'2025-08-11 20:10:28.705,0,0,-0.03,0.03
'2025-08-11 20:10:28.711,0,0,-0.03,0.03
'2025-08-11 20:10:28.718,0,0,-0.03,0.03
'2025-08-11 20:10:28.725,0,0,-0.03,0.03
'2025-08-11 20:10:28.731,0,0,-0.03,0.03
'2025-08-11 20:10:28.738,0,0.01,-0.03,0.031622777
'2025-08-11 20:10:28.745,0,0.01,0,0.01
'2025-08-11 20:10:28.751,0,0.01,0,0.01
'2025-08-11 20:10:28.758,0,0.01,0,0.01
'2025-08-11 20:10:28.765,0,0.01,0,0.01
'2025-08-11 20:10:28.771,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.777,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.784,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.791,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.797,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.804,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.810,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.817,0.01,0.01,0.01,0.017320508
'2025-08-11 20:10:28.823,0.01,0.01,0.01,0.017320508
'2025-08-11 20:10:28.830,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.837,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.843,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.850,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.856,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.863,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.869,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.875,0,0.01,0,0.01
'2025-08-11 20:10:28.882,0,0.01,0,0.01
'2025-08-11 20:10:28.888,0,0.01,0,0.01
'2025-08-11 20:10:28.895,0,0.01,0,0.01
'2025-08-11 20:10:28.901,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.908,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.914,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.921,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.927,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.934,0,0.01,0,0.01
'2025-08-11 20:10:28.940,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.947,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.953,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.959,0,0.01,0.01,0.014142136
'2025-08-11 20:10:28.966,0.01,0.01,0.01,0.017320508
'2025-08-11 20:10:28.972,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.979,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.985,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.991,0.01,0.01,0,0.014142136
'2025-08-11 20:10:28.998,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.004,0.01,0.01,0.01,0.017320508
'2025-08-11 20:10:29.011,0.01,0.01,0.01,0.017320508
'2025-08-11 20:10:29.018,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.024,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.034,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.041,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.047,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.056,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.062,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.068,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.075,0.01,0.01,0,0.014142136
'2025-08-11 20:10:29.082,0.01,0.01,-0.02,0.024494897
'2025-08-11 20:10:29.090,0.01,0.01,-0.05,0.051961524
'2025-08-11 20:10:29.100,0.01,0,-0.08,0.080622577
'2025-08-11 20:10:29.107,0.01,0,-0.1,0.100498756
'2025-08-11 20:10:29.114,0.01,0,-0.11,0.11045361
'2025-08-11 20:10:29.120,0.01,0,-0.12,0.120415946
'2025-08-11 20:10:29.127,0.01,0,-0.12,0.120415946
'2025-08-11 20:10:29.133,0.01,0,-0.12,0.120415946
'2025-08-11 20:10:29.140,0.01,0,-0.13,0.130384048
'2025-08-11 20:10:29.147,0.01,0,-0.14,0.140356688
'2025-08-11 20:10:29.153,0.01,0,-0.14,0.140356688
